target,a,b,c,d
pASa,prasiwi,snu,karNikA,gaNda
jImUwa,gowra,yApya,vakwavya,para
caFcarIka,Ratpaxa,saMsWA,BreRa,akRa
SrIparNikA,BUwika,koRa,anwAvasAyin,gaNikA
uxara,jaTara,jFAwi,bAla,Ayawi
a,nir,vqwwa,nirvarNana,pifgala
miWaH,rahasya,amA,bawa,vasu
pIvan,pIna,lakRaNa,niRNAwa,pinAka
SrAxXaxeva,kInASa,muswA,xEva,arWa
nAyaka,aXiBU,uccAra,waraNi,snu
varNa,varNa,harixrABa,piSuna,pelava
Silpa,kalA,velA,Alokana,aXyAhAra
romAFca,romaharRaNa,alam,prayAma,atavI
parvan,kRaNa,waraNi,hAyana,rucya
sva,puruRa,riRta,aSvA,pinAkin
saMsixXi,Awman,amla,nimiwwa,kEvarwa
sArXam,sAkam,paScAw,ASraya,paSu
jAla,koSa,urarI,xAraka,sOmya
BrAwrIya,BrAwqvya,gagana,Xarma,maXu
ciwra,vismaya,pracewas,vAma,svarBAnu
vawsa,varRa,niRTA,wanwra,AsWA
xuroxara,AkarRa,awiSaya,mala,janus
vqRa,kUta,praWama,viS,guhya
spaSa,peSala,uxAra,Baga,janeSvara
Aji,raNa,raxa,sWAna,kulapAlikA
SampA,hrAxinI,saxAwana,wanxrA,iwi
kakRa,gulminI,syaxa,aGa,anaya
Xarma,samaya,prajFAna,prakqwi,xvanxva
KArI,mAwrA,axarSana,SAra,kriyA
viXunwuxa,sEMhikeya,vihApiwa,mUrCiwa,wqNa
vasawi,yAminI,samAna,SrayaNa,hiraNyavAha
qwu,puRpa,ananwa,wiroXAna,kataka
anUnaka,niKila,puRpa,SApa,BUBqw
sweya,cOrikA,kakuxa,vapra,xuHKa
SUla,pinAka,alam,pragraha,atavI
puruRa,pUruRa,bAla,ganXavaha,ahiwuNdika
saMvix,AlApa,lohiwa,Siras,vAma
mUDa,mUrCiwa,patu,meDra,nASa
aXIna,vakwavya,kOSika,viS,vyaFjana
lakRa,apaxeSa,duli,vyawyaya,cAmIkara
granWa,Sruwa,SAlUra,kUta,pUjya
ca,uwa,sAyaka,wiRya,vinASa
Kadga,karavAla,prAxus,kriyA,animiRa
kacCapI,mahawI,bAXA,varNa,svaswi
karaNa,XAwu,vyAGra,swEnya,valaya
iRti,kAnwa,Sloka,varNa,UrNAyu
aGa,AXi,arWa,vqwwa,kOpIna
prayawa,pUwa,caFcarIka,xaSamIsWa,BUwika
safgara,sanXA,kudya,aBihAra,kRiyA
wanwra,sixXAnwa,gahana,yoRA,anuwwara
pragrAha,pragraha,XiRNya,vANinI,parikara
hiraNyavAha,SoNa,meRa,Sreyas,kevala
rARtra,cakra,rAma,kRuxra,Aloka
niSApawi,wamopaha,romaharRaNa,sAXana,nO
saMswyAya,saMsWAna,kuNdI,unxuru,gaNa
parigraha,parIvAra,guhya,prakqwi,arvan
SAsana,hava,wIrWa,vqRa,pOlaswya
Sarax,varRa,yanwq,vqjina,kAruNya
Suci,rajawa,pifga,miWaH,uwa
samaya,xiRta,pUjiwa,IhA,maXya
balhIka,bAhlIka,vraja,koSa,uwkalikA
vArwA,kiMvaxanwI,KaNda,GqNA,haswipaka
janana,jani,vivara,kalawra,kOpIna
glaha,paNa,aBipanna,rARtra,sanXA
kirIta,mOli,api,nirvAxa,xama
aBiwas,yAvaw_wAvaw,ASA,kqwin,anaya
Xvani,svana,vallava,valaja,SiKaNda
prasUwija,Amanasya,AwaFcana,saMsWAna,aXyakRa
anwarXA,apiXAna,nAman,kukRi,samayA
kRanwrq,xvAsWiwa,pragrAha,samajyA,SreNI
afGri,pax,axqS,nija,api
uxyAna,arWa,kila,ruxiwa,ahiwuNdika
vyaFjana,niRTAna,pAxa,kula,ajira
kara,Saya,sArasana,vajraxru,kacCapI
aXikqwa,vallaBa,hava,Awafka,kalApa
siXyA,wiRya,kali,prakIrNaka,jala
kuwsiwa,rePa,pravaNa,parIvAra,mqga
lakRman,praWama,xarSaka,samIka,aMSu
yuga,yugma,gosafKya,SAKAnagara,AmnAya
iwi,vqwwAnwa,kulapAlikA,varivasyiwa,mAwrA
naBas,naBas,jihma,acyuwa,yoga
nAman,prAxus,iwi,anXa,kuSala
caNdikA,ruxrANI,anwara,keSapASI,ahi
wurafga,wuraga,hIna,AkRepa,wanwra
anwara,bahis,aBinavoxBix,SevaXi,samaFjasa
XIvara,jAlika,Xarma,kqwAnwa,kqkavAku
vqwwAnwa,nyakRa,aparAXa,SiwaSUka,parIvAra
parAjaya,Bafga,wamas,kewu,saraGA
svaBU,kaMsArAwi,Peru,svarUpa,avani
vraja,gosWAnaka,wiwikRA,ahiBuja,yava
saMvasaWa,grAma,arcis,yAvaw_wAvaw,grAma
xvApara,wruti,wUrNa,wakRan,kati
nirvapaNa,apavarjana,virUpAkRa,vallaBa,hari
XAman,Ayawi,koSa,sampawwi,SiKin
vqwra,ahi,kAlikA,kRewrajFa,pala
anuyoga,nanu,pura,Gata,anwara
kRamA,wiwikRA,hari,yaWAwaWam,prayawa
uwwara,anuwwara,nikewana,sva,hIna
xarpa,viwAna,swamberama,paxa,AhAva
prawyak,vAruNI,vaRat,saMvawsara,wu
hiruk,samayA,mAwrA,sAci,samayA
evam,paramam,ca,mqRA,paraSvas
Gana,aBIkRNam,hE,aFjasA,ayi
anware,anwara,samayA,saw,yugapaw
yugapaw,ekaxA,prAxus,sma,hiruk
iva,va,samayA,cew,parexyavi
uRA,praBAwa,Sarax,saxyas,asakqw
laGu,kRuxra,vqWA,aXyAhAra,apavAxa
apavAxa,Xik,awi,prAxus,cireNa
nAnA,vinA,anwara,saxA,uBayexyus
yaWAsvam,yaWAyaWam,sanIda,uBayaxyus,uwa
saxA,sarvaxA,prAwar,xiRtyA,mOna
kimuwa,Aho,aWa,yaWArWam,yaWAyaWam
uBayexyus,uBayaxyus,yaWAsvam,bawa,vAsara
uxAra,uccEs,ciw,su,cew
aXyAhAra,warka,evam,xiRtyA,yaxi
BUwa,vqwwa,paraSvas,saxAwana,ixAnIm
cirAw,ciram,svaXA,a,wURNIkAM
no,nir,sarvawas,balavaw,nakwam
hewu,iwi,waWA,punar,sarvawas
prasaBa,balAwkAra,va,vAruNI,muXA
parexyavi,paraSvas,saxAwana,kimu,awimAwra
sama,sArXam,samayA,muhus,wURNIM
bawa,hI,sWUloccaya,Gana,muXA
muhus,punaHpunar,uBayexyus,wiras,anwara
saxAwana,Xruva,samprawi,yaxi,pyAt
aXunA,samprawi,jAwu,prewya,saxA
xoRA,rajanI,uBayexyus,uxAra,prewya
prAxus,Avis,cirarAwrAya,anwareNa,sarvaxA
saw,yaWAwaWam,mAsma,yaWAsvam,bahis
amuwra,prewya,mAsma,prasaBa,muXA
he,hE,aBIkRNam,yaWAsvam,sWAna
xivasa,ahan,qwe,parexyavi,anwarA
nirBara,suRTu,kimu,cire,wiras
saviXa,aByarNa,niRRama,wiras,cana
avaSyam,sqRti,aFjasA,evam,saha
prage,prAwar,kaniRTA,nAnA,asakqw
wURNIkAM,wURNIM,va,xuRRama,aFjasA
xuRRama,niRRama,sAmprawam,niSA,vaRat
abxa,Sarax,sAmprawam,aWo,sAci
Kalu,ayi,anwara,amuwra,xqDa
axXA,aFjasA,prawyURa,pariwas,prage
mA,mAsma,bahis,ha,xuRRama
sAyam,sAyam,sma,SaSvaw,saxA
muXA,vqWA,uBayaxyus,sWAna,SASvawa
agrawaH,purawas,parexyavi,SarvarI,ha
sWUloccaya,ciw,afga,kimu,saxA
sma,vE,uccEs,mAwrA,Gasra
bahis,anwara,saxA,uccEs,SaSvaw
vORat,svAhA,vqWA,sAyam,uRA
kriyA,su,sanAwana,amuwra,anwara
sAmprawam,sWAna,xuRTu,wu,mqRA
sAci,wiras,wriyAmA,xqDa,cireNa
xiRtyA,samupajoRam,niRRama,Xruva,sAyam
yaxi,cew,alam,axXA,sarvaxA
wu,eva,prawyak,samanwawas,kriyA
AhnAya,sapaxi,hum,prawyURa,ekaxA
aWa,pqcCA,prawyak,prAwar,saxyas
mqRA,miWyA,aByASa,axXA,xiRtyA
samanwawas,viRvak,pAt,parexyavi,aho
kaxAciw,jAwu,saMvawsara,Gana,evam
